Title,Description,Local Image Filename
JIANG YA WAN (Hypertension Pills),"JIANG YA WAN (Hypertension Pills)It helps to calm the liver, subdue the Yang, enrich the Yin, and support healthy blood pressure. It is used for treating hypertension, chronic headache and migraine, dizziness and vertigo, eye redness, irritability and other Liver Fire and Liver Yang Hyper-activities.",JIANG_YA_WAN_(Hypertension_Pills).png
JIE GENG WAN (Platycodon Pills),"JIE GENG WAN (Platycodon Pills)It eliminates phlegm and pus, clears deficiency fire, and clears toxins. It is used for Phlegm Stagnation in the chest with Deficiency Fire Rising. Symptoms include, Coughing, Swelling and pain of the throat, sputum with mucus and Blood, Chills, Fullness in the chest, Foulsmelling sputum. It can be used for pulmonary gangrene, pulmonary abscess, cough, lung cancer, bronchitis, tonsillitis, COPD, etc",JIE_GENG_WAN_(Platycodon_Pills).png
JIN GUI SHEN QI WAN (Kidney Yang),"JIN GUI SHEN QI WAN (Kidney Yang)It eliminates phlegm and pus, clears deficiency fire, and clears toxins. It is used for Phlegm Stagnation in the chest with Deficiency Fire Rising. Symptoms include, Coughing, Swelling and pain of the throat, sputum with mucus and Blood, Chills, Fullness in the chest, Foul smelling sputum. It can be used for pulmonary gangrene, pulmonary abscess, cough, lung cancer, bronchitis, tonsillitis, COPD, etc.",JIN_GUI_SHEN_QI_WAN_(Kidney_Yang).png
JIN SUO GU JING WAN (Control Emission),"JIN SUO GU JING WAN (Control Emission)It is specific for male sexual dysfunction, including premature ejaculation, impotence, and nocturnal emissions. It works by strengthening the deepest reserves of energy in the body – those of the Kidney. May also be helpful to women with vaginal discharge (leucorrhea), excessive sweating, and diarrhea. Other symptoms that may be present: Fatigue, Lower backache, Dizziness, Tinnitus (ringing in the ears), Weak limbs.",JIN_SUO_GU_JING_WAN_(Control_Emission).png
JIU WEI QIANG HUO WAN (Dispel Wind-Cold),"JIU WEI QIANG HUO WAN (Dispel Wind-Cold)It dispels Wind, relieve exterior syndrome, expel Cold and dispel Dampness. It is used for fear of Cold, fever without sweating, head heaviness and ache and painful limbs caused by Wind-Cold and Dampness.",JIU_WEI_QIANG_HUO_WAN_(Dispel_Wind-Cold).png
KANG GU ZENG SHENG WAN (Anti Hyperosteogeny),"KANG GU ZENG SHENG WAN (Anti Hyperosteogeny)It tonifies liver and kidneys, strengthens tendons and bones, dispels wind-damp, invigorates the blood, unblocks the channels and collaterals. It is used for Hyperosteogeny in elderly people.  It can also be used for promoting the health of your loins, bones, muscles, kidneys, blood and nervous system.",KANG_GU_ZENG_SHENG_WAN_(Anti_Hyperosteogeny).png
LI DAN PAI SHI WAN (Gallstone),"LI DAN PAI SHI WAN (Gallstone)It can clear heat and dampness, clean gallbladder and expel stone. It is used for hypochondriac pain caused by damp-heat toxin and Qi stagnation, swollen gallbladder and pain, fever, yellow urine, constipation, cholecystitis, cholelithiasis, etc.",LI_DAN_PAI_SHI_WAN_(Gallstone).png
LI DAN WAN (Gallbladder Heat),LI DAN WAN (Gallbladder Heat)It clears heat from the Gallbladder. It is used for cholecystitis and cholelithiasis.,LI_DAN_WAN_(Gallbladder_Heat).png
LI ZHONG WAN (Regulate Middle),"LI ZHONG WAN (Regulate Middle)It can warm the middle Jiao and expel cold, tonify Qi and Spleen. It is used for deficiency and Cold in Spleen and Stomach, vomiting and stomach ache, no appetite, cold stomach and gastroenteritis, infant convulsions, etc.",LI_ZHONG_WAN_(Regulate_Middle).png
LIAN QIAO BAI DU WAN (Skin Detox),"LIAN QIAO BAI DU WAN (Skin Detox)It clears heat, removes toxicity, relieves swelling and pain, cools the Blood, and stops itching. It is used for boil and furunculosis, inflammation or suppuration of the skin, heat and fever, suppurate, erysipelas, herpes, scabies, etc.",LIAN_QIAO_BAI_DU_WAN_(Skin_Detox).png
LIU WEI DI HUANG WAN (Nourish Yin),"LIU WEI DI HUANG WAN (Nourish Yin)Liu Wei Di Huang Wan helps for the Yin deficiency of the kidney, liver and spleen with the symptom of weakness and soreness of the loins and the limbs, emission and sweating, impotence, burning soles or palms, lightheadedness, dizziness, and occasional ringing in the ears.",LIU_WEI_DI_HUANG_WAN_(Nourish_Yin).png
LONG DAN XIE GAN WAN (Purge Damp-Heat),"LONG DAN XIE GAN WAN (Purge Damp-Heat)It can clear excess heat from the Liver and Gallbladder and purge Damp-Heat. | It is used for Damp-Heat syndrome, symptoms include dizziness, red eyes, tinnitus, deafness, flank pain, bitter taste in the mouth, dark urine, yellow smelly morbid leucorrhoea in women. It can be also used to treat skin problem diseases like shingles, eczema and dermatitis, itchy skin rashes, psoriasis, acne, herpes simplex, vaginal itching and discharge, etc.",LONG_DAN_XIE_GAN_WAN_(Purge_Damp-Heat).png
MAI WEI DI HUANG WAN (Nourish Lung & Kidney),"MAI WEI DI HUANG WAN (Nourish Lung & Kidney)It nourishes the Kidney and Lung. It can be used for Yin deficiency of Lung and Kidney, tidal fever and night sweating, dry throat, dizziness and tinnitus, soreness and weakness of waist and knees. It can also help to enhance immune function and lower blood sugar level.",MAI_WEI_DI_HUANG_WAN_(Nourish_Lung_&_Kidney).png
MING MU DI HUANG WAN (Eye Bright),"MING MU DI HUANG WAN (Eye Bright)Ming Mu Di Huang Wan supports eye health and supports vision and restores and strengthens Kidney and Liver Yin. It is used for blurred vision and other eye discomforts, such as increased sensitivity to light, becoming teary-eyed (especially in the wind), getting tired easily.",MING_MU_DI_HUANG_WAN_(Eye_Bright).png
